Предложения,GPT-3.5,Llama-3.3,DeepSeek-V3,,Qwen2.5,t5-trivia,Falcon3 3B Instruct
Я хочу научиться играть на фортопиане.,Я хочу научиться играть на фортепиано.,Я хочу научиться играть на фортепиано.,Я хочу научиться играть на фортепиано.,,Я хочу научиться играть на фортепиано.,,Изучение игры на форме игр с формой.
"Без лидеров в мире было бы беспорядок, потому что человек не может жить без правилов.","Без лидеров в мире был бы беспорядок, потому что человек не может жить без правил.","Без лидеров в мире был бы беспорядок, потому что человек не может жить без правил.","Без лидеров в мире был бы беспорядок, потому что человек не может жить без правил.",,"Без лидеров в мире было бы беспорядок, потому что человек не может существовать без правилов.",,
Некоторые из кафедр считаются межфакультетными.,Некоторые кафедры считаются межфакультетскими.,Некоторые из кафедр считаются межфакультетскими.,Некоторые из кафедр считаются межфакультетными.,,Некоторые кафедры считаются межфакультетскими.,,
Фонтан безконечно работает и вода постоянно слышно.,"Фонтан бесконечно работает, и вода постоянно слышна.","Фонтан работает безконечно, и вода постоянно слышна.","Фонтан бесконечно работает, и воду постоянно слышно.",,"Фонтан бесконечно работает, и вода постоянно слышна.",,
Стая пираний в три счёта может слопать здоровенного быка.,Стая пираний в три счёта может сожрать здоровенного быка.,Стая пираний за три счёта может слопать здоровенного быка.,Стая пираний в три счёта может слопать здоровенного быка.,,Стая пираний в три счёта может слопать здоровенного быка.,,
"Ходя из одного зала Исторического музея в другой, ты совершаешь путешествие во времени.","Переходя из одного зала Исторического музея в другой, ты совершаешь путешествие во времени.","Ходя из одного зала Исторического музея в другой, ты как будто совершаешь путешествие во времени.","Переходя из одного зала Исторического музея в другой, ты совершаешь путешествие во времени.",,"Проходя из одного зала Исторического музея в другой, ты совершаешь путешествие во времени.",,
"Прийдя домой, он устроил представление, которое я не забуду до конца жизни.","Придя домой, он устроил представление, которое я не забуду до конца жизни.","Прийдя домой, он устроил такое представление, которое я не забуду до конца жизни.","Придя домой, он устроил представление, которое я не забуду до конца жизни.",,"Прийдя домой, он устроил представление, которое я не забуду до конца пиане.",,
Это очень дещовый материал.,Это очень дешёвый материал.,Это очень дешёвый материал.,Это очень дешёвый материал.,,Это очень дещовой вариант.,,
"Я не знаю, как я могу жить без её.","Я не знаю, как я могу жить без неё.","Я не знаю, как я могу жить без неё.","Я не знаю, как я могу жить без неё.",,"Я не знаю, как я могу жить без неё.",,
В сентябре этого года я и мои однокурницы посетили музей., В сентябре этого года я и мои однокурсницы посетили музей.,В сентябре этого года я и мои однокурсницы посетили музей.,В сентябре этого года я и мои однокурсницы посетили музей.,,В сентябре этого года я и мои однокурсницы посетили музей.,,
"Во третых, нам надо действовать.","В-третьих, нам надо действовать.","Во-первых, во-вторых, в-третьих... или просто: В-третьих, нам надо действовать.","В-третьих,нам надо действовать.",,"Во третях, нам надо действовать.",,
С помощью танков из СССР республиканцы отразили два атака на Мадрид в начале войны.,С помощью танков из СССР республиканцы отразили две атаки на Мадрид в начале войны.,С помощью танков из СССР республиканцы отразили две атаки на Мадрид в начале войны.,С помощью танков из СССР республиканцы отразили две атаки на Мадрид в начале войны.,,С помощью танков из СССР республиканцы отразили две атаки на Мадрид в начале войны.,,
Главная причина загрязнения — транспортация нефтепродуктов по реке.,Главная причина загрязнения — транспортировка нефтепродуктов по реке.,Главная причина загрязнения — транспортировка нефтепродуктов по реке.,Главная причина загрязнения—транспортировка нефтепродуктов по реке.,,Главная причина загрязнения — транспортация нефтепродуктов по реке.,,
"Учители в среднее школе жалеутся, что учить некого.","Учителя в средней школе жалуются, что учить некого.","Учителя в средней школе жалуются, что некого учить.","Учителя в средней школе жалуются,что учить некого.",,"Учители в средней школе жале учитывать, что учить некого.",,
"Я считаю, что мои друзья — один из самых важных людей в моей жизне","Я считаю, что мои друзья — одни из самых важных людей в моей жизни.","Я считаю, что мои друзья — одни из самых важных людей в моей жизни.","Я считаю,что мои друзья—одни из самых важных людей в моей жизни.",,"Я считаю, что мои друзья — одни из самых важных людей в моей жизни.",,
